key,原文,译文
Root/ArmourTier2,Cloth Armour,
Root/ArmourTier3,Hide Armour,
Root/ArmourTier4,Lamellar Armour,
Root/ArmourTier5,Mail Armour,
Root/ArmourTier2Description,"Simple coats of layered cloth protect against glancing blows without restricting the wearer's movement, but it isn't much better than regular clothes.",
Root/ArmourTier3Description,"Cured hide layered around the chest and back and padded with fur protects well against light cuts and impacts, but does restrict the wearer's movement slighty.",
Root/ArmourTier4Description,Laced rows of boiled leather platelets protect better than cloth and simple hide without restricting movement any more than hide armour.,
Root/ArmourTier5Description,"A shirt of interlocking iron rings offers excellent protection against all weapons, but the coat is quite heavy and significantly restricts movement.",
Root/HelmetTier1,Fur Helmet,
Root/HelmetTier2,Leather Helmet,
Root/HelmetTier3,Steel Cap Helmet,
Root/HelmetTier4,Aventailed Helmet,
Root/HelmetTier5,Masked Helmet,
Root/HelmetTier1Description,"These primitive fur helmets are easy to make, but not as robust as more advanced designs.",
Root/HelmetTier2Description,Cured leather helmets offer decent protection from glancing blows.,
Root/HelmetTier3Description,"Steel cap helmets require great expertise to produce, but can take a lot of punishment.",
Root/HelmetTier4Description,Some armourers have found that attaching a curtain of ring mail to steel helmets is an easy way to offer extra protection.,
Root/HelmetTier5Description,"Adding goggles and a nose guard to an aventailed helmet not only yields a little more protection, but looks very impressive.",
Root/AxeTier1,Tool Axe,
Root/AxeTier2,Bearded Axe,
Root/AxeTier3,Broad Axe,
Root/AxeTier4,Battle Axe,
Root/AxeTier5,Crucible Steel Axe,
Root/AxeTier1Description,Simple utility axe intended for domestic work.,
Root/AxeTier2Description,"One step up from a tool axe, the bearded design makes it easier to use the axe in a fight.",
Root/AxeTier3Description,A broader axe-head makes it easier to inflict damage on shields and flesh.,
Root/AxeTier4Description,"This design is the pinnacle of axes for combat use, facilitating all manner of tricks and unpleasantries.",
Root/AxeTier5Description,Few smiths know how to forge steel in a crucible. Here the technique has yielded an axe of unparallelled durability.,
Root/BowTier1,Willow Bow,
Root/BowTier2,Birch Bow,
Root/BowTier3,Pine Bow,
Root/BowTier4,Elm Bow,
Root/BowTier5,Yew Bow,
Root/BowTier1Description,"A simple bow made from the wood of a willow tree. Useful for hunting animals, but not as good against humans.",
Root/BowTier2Description,"Birch wood is strong and flexible, and yields an excellent hunting bow which is quite serviceable in combat.",
Root/BowTier3Description,"A well built pine bow strung with horse-hair of matching quality, with a comfortable grip that ensures stability at full draw.",
Root/BowTier4Description,This fine bow is made from the wood of an elm tree. It is flexible and strong - a deadly weapon in the hands of a trained archer.,
Root/BowTier5Description,"The wood of a yew is perfectly suited for a war-bow. This is a powerful and sturdy weapon, decorated with a fine grip and the highest quality bow string.",
Root/DaneAxeTier1,Wood Dane Axe,
Root/DaneAxeTier2,Bearded Dane Axe,
Root/DaneAxeTier3,Broad Dane Axe,
Root/DaneAxeTier4,Battle Dane Axe,
Root/DaneAxeTier5,Crucible Steel Dane Axe,
Root/DaneAxeTier1Description,Simple utility axe-head stuck on the end of a long pole to extend its reach in a fight.,
Root/DaneAxeTier2Description,"One step up from a utility axe, the bearded design makes it easier to use the axe in a fight.",
Root/DaneAxeTier3Description,A broader axe-head makes it easier to inflict damage on shields and flesh.,
Root/DaneAxeTier4Description,"This design is the pinnacle of axes for combat use, facilitating all manner of tricks and unpleasantries.",
